uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
9,2,10.156.245.71,10.179.80.10,8080,42733,null,null,10.193.197.243,16,null,685,7,0.0
9,3,10.146.162.137,208.67.222.222,38551,53,null,null,10.147.91.150,11,null,160,2,4.0
9,4,10.146.170.36,117.105.89.22,61275,53,null,null,198.208.133.142,15,null,97,1,0.0
9,5,10.146.170.36,130.173.33.162,61276,53,null,null,198.208.134.142,15,null,97,1,0.0
9,6,10.146.170.36,117.105.89.22,61278,53,null,null,198.208.133.142,15,null,97,1,0.0
9,7,10.146.170.36,130.173.33.162,61279,53,null,null,198.208.134.142,15,null,97,1,0.0
9,8,130.173.33.162,10.146.170.36,53,61276,null,null,10.193.197.243,16,null,95,1,0.0
9,9,130.173.33.162,10.146.170.36,53,61279,null,null,10.193.197.243,16,null,135,1,0.0
9,10,10.47.18.237,10.146.164.117,53,46689,null,null,10.193.204.227,18,null,83,1,0.0
9,11,10.47.18.237,10.146.162.2,53,54972,null,null,10.193.204.227,18,null,83,1,0.0
9,12,10.47.18.237,10.146.161.190,53,35979,null,null,10.193.204.227,18,null,83,1,0.0
9,13,10.47.18.237,10.146.162.27,53,36360,null,null,10.193.204.227,18,null,83,1,0.0
10,1,10.146.165.79,10.47.18.237,37981,53,null,null,198.208.210.68,15,null,85,1,0.0
10,2,10.146.170.36,117.105.89.22,61281,53,null,null,198.208.133.142,15,null,90,1,0.0
10,3,10.146.170.36,130.173.33.162,61282,53,null,null,198.208.134.142,15,null,90,1,0.0
10,4,10.146.170.36,117.105.89.22,61284,53,null,null,198.208.133.142,15,null,90,1,0.0
10,5,10.146.170.36,130.173.33.162,61285,53,null,null,198.208.134.142,15,null,90,1,0.0
10,6,10.125.122.93,10.146.161.46,32111,41174,null,null,10.193.197.243,16,null,44,1,0.0
10,7,130.173.33.162,10.146.170.36,53,61282,null,null,10.193.197.243,16,null,88,1,0.0
10,8,130.173.33.162,10.146.170.36,53,61285,null,null,10.193.197.243,16,null,144,1,0.0
10,9,10.173.54.9,11.67.68.11,12973,2000,null,null,10.147.95.150,11,null,130,2,0.0
10,10,10.146.165.134,10.125.122.4,51174,32111,null,null,198.208.211.68,15,null,122,2,0.0
10,11,11.67.68.11,10.173.54.9,2000,12973,null,null,10.193.197.243,16,null,52,1,0.0
10,12,10.146.162.67,10.47.18.237,46284,53,null,null,10.205.14.165,11,null,85,1,0.0
10,13,10.47.18.237,10.146.165.79,53,37981,null,null,10.193.204.227,18,null,83,1,0.0
11,1,10.47.18.237,10.146.161.58,53,42902,null,null,10.193.204.227,18,null,83,1,0.0
11,2,10.47.18.237,10.146.161.225,53,58134,null,null,10.193.204.227,18,null,83,1,0.0
11,3,10.146.170.36,117.105.89.22,61287,53,null,null,198.208.133.142,15,null,97,1,0.0
11,4,10.146.170.36,130.173.33.162,61288,53,null,null,198.208.134.142,15,null,97,1,0.0
11,5,10.146.170.36,117.105.89.22,61290,53,null,null,198.208.133.142,15,null,97,1,0.0
11,6,10.146.170.36,130.173.33.162,61291,53,null,null,198.208.134.142,15,null,97,1,0.0
11,7,130.173.33.162,10.146.170.36,53,61288,null,null,10.193.197.243,16,null,95,1,0.0
11,8,130.173.33.162,10.146.170.36,53,61291,null,null,10.193.197.243,16,null,135,1,0.0
11,9,10.146.171.132,10.47.18.237,44760,53,null,null,198.208.210.69,15,null,85,1,0.0
11,10,10.146.170.36,10.125.226.170,389,10470,null,null,198.208.211.68,15,null,6130,11,8.0
12,1,10.146.164.5,208.67.222.222,42553,53,null,null,198.208.134.53,15,null,160,2,4.0
12,2,10.146.164.232,208.67.222.222,54264,53,null,null,198.208.133.53,15,null,160,2,4.0
12,3,10.156.245.71,10.179.80.10,8080,42733,null,null,10.193.197.243,16,null,0,0,16.0
12,4,10.146.165.168,208.67.222.222,44341,53,null,null,10.147.91.150,11,null,160,2,5.0
12,5,10.146.171.178,208.67.222.222,50366,53,null,null,198.208.133.142,15,null,160,2,5.0
12,6,10.146.165.233,10.120.101.237,33462,40003,null,null,10.205.14.164,11,null,1068,5,1.0
12,7,10.125.119.139,10.146.162.106,22443,46341,null,null,10.193.197.243,16,null,556245,1426,0.0
12,8,10.146.162.106,8.8.8.8,0,0,null,null,198.208.133.38,1,null,11934,117,0.0
12,9,10.193.197.236,172.20.208.11,63994,22,null,null,198.208.210.4,1,null,0,0,76.0
12,10,10.146.162.191,10.120.101.237,47818,40003,null,null,10.205.14.164,11,null,1066,5,1.0
12,11,10.146.165.92,208.67.222.222,47254,53,null,null,10.147.91.149,11,null,160,2,5.0
12,12,172.21.26.134,148.93.49.56,161,40617,null,null,198.208.210.69,15,null,3483,8,0.0
12,13,10.146.162.147,208.67.222.222,40741,53,null,null,10.147.91.149,11,null,160,2,5.0
13,1,10.47.18.237,10.146.162.67,53,46284,null,null,10.193.204.227,18,null,83,1,0.0
13,2,10.147.56.80,10.146.161.246,61749,161,null,null,10.193.197.243,16,null,71,1,0.0
13,3,10.147.56.80,10.146.166.239,61749,161,null,null,10.193.197.243,16,null,71,1,0.0
13,4,10.146.162.31,10.47.18.237,54353,53,null,null,198.208.210.69,15,null,85,1,0.0
13,5,10.192.148.84,10.146.172.237,32111,50412,null,null,10.193.197.243,16,null,44,1,0.0
13,6,10.146.165.111,10.47.18.237,39442,53,null,null,198.208.210.68,15,null,85,1,0.0
13,7,10.146.170.36,117.105.89.22,61293,53,null,null,198.208.133.142,15,null,93,1,0.0
13,8,10.146.170.36,130.173.33.162,61294,53,null,null,198.208.134.142,15,null,93,1,0.0
13,9,10.146.170.36,117.105.89.22,61296,53,null,null,198.208.133.142,15,null,93,1,0.0
13,10,10.146.170.36,130.173.33.162,61297,53,null,null,198.208.134.142,15,null,93,1,0.0
