flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
1285,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.399253000 Eastern Standard Time",1675367897.399253000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
1286,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.856946000 Eastern Standard Time",1675367897.856946000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1287,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.859618000 Eastern Standard Time",1675367897.859618000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1288,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:17.892573000 Eastern Standard Time",1675367897.892573000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1289,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.322439000 Eastern Standard Time",1675367898.322439000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1290,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.364915000 Eastern Standard Time",1675367898.364915000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1291,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.366698000 Eastern Standard Time",1675367898.366698000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1292,2,Set 1 [id=257] (5 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.407811000 Eastern Standard Time",1675367898.407811000,582,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,5,524
1293,2,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.407811000 Eastern Standard Time",1675367898.407811000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
1294,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.815660000 Eastern Standard Time",1675367898.815660000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1295,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.858150000 Eastern Standard Time",1675367898.858150000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1296,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:18.859961000 Eastern Standard Time",1675367898.859961000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1297,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:19.084226000 Eastern Standard Time",1675367899.084226000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
1298,2,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 14:58:19.352711000 Eastern Standard Time",1675367899.352711000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
