flowsetUniqueId,siteId,flowsetName,index,frameTime,frameEpoch,frameLen,ethDstOuiResolve,ethDstAddrOuiResolve,ethSrcOuiResolve,ethSrcAddrOuiResolve,ipSrc,ipSrcHost,ipDst,ipDstHost,numFlows,flowsetLength
2278,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:36.563858000 Eastern Standard Time",1675368036.563858000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2279,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:36.564873000 Eastern Standard Time",1675368036.564873000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2280,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:36.964006000 Eastern Standard Time",1675368036.964006000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2281,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:37.057085000 Eastern Standard Time",1675368037.057085000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2282,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:37.297097000 Eastern Standard Time",1675368037.297097000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2283,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:37.582023000 Eastern Standard Time",1675368037.582023000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2284,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:37.582680000 Eastern Standard Time",1675368037.582680000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2285,1,Set 1 [id=257] (7 flows),packets-2023-02-02,"Feb  2, 2023 15:00:37.636409000 Eastern Standard Time",1675368037.636409000,790,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,7,732
2286,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.037299000 Eastern Standard Time",1675368038.037299000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2287,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.079729000 Eastern Standard Time",1675368038.079729000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2288,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.395289000 Eastern Standard Time",1675368038.395289000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2289,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.579964000 Eastern Standard Time",1675368038.579964000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2290,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.622987000 Eastern Standard Time",1675368038.622987000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2291,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:38.912382000 Eastern Standard Time",1675368038.912382000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2292,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:39.106937000 Eastern Standard Time",1675368039.106937000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2293,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:39.584966000 Eastern Standard Time",1675368039.584966000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2294,1,Set 1 [id=257] (5 flows),packets-2023-02-02,"Feb  2, 2023 15:00:39.638048000 Eastern Standard Time",1675368039.638048000,582,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,5,524
2295,1,Set 1 [id=257] (1 flows),packets-2023-02-02,"Feb  2, 2023 15:00:39.638048000 Eastern Standard Time",1675368039.638048000,166,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,1,108
2296,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.064901000 Eastern Standard Time",1675368040.064901000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2297,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.077540000 Eastern Standard Time",1675368040.077540000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2298,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.078758000 Eastern Standard Time",1675368040.078758000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2299,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.587919000 Eastern Standard Time",1675368040.587919000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2300,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.597875000 Eastern Standard Time",1675368040.597875000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2301,1,Set 1 [id=257] (3 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.653943000 Eastern Standard Time",1675368040.653943000,374,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,3,316
2302,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:40.930186000 Eastern Standard Time",1675368040.930186000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2303,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:41.084796000 Eastern Standard Time",1675368041.084796000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2304,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:41.198181000 Eastern Standard Time",1675368041.198181000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2305,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:41.584031000 Eastern Standard Time",1675368041.584031000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2306,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:41.658438000 Eastern Standard Time",1675368041.658438000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
2307,1,Set 1 [id=257] (13 flows),packets-2023-02-02,"Feb  2, 2023 15:00:41.864930000 Eastern Standard Time",1675368041.864930000,1414,"VMware, Inc.","VMware, Inc.","Cisco Systems, Inc","Cisco Systems, Inc",10.193.197.249,10.193.197.249,148.93.49.204,148.93.49.204,13,1356
